,ind,max_valorX,max_valorY,max_valorZ,media,formula,Ehull,HF,Gap,Energy,natoms,nspecies,thickness,uc_area,average_atomic_number,average_valence_number,average_electronegativity
2345,2479,1.107499999999959,1.107499999999959,1.107499999999959,1.107499999999959,Au4Se2,0.042,-0.04,0.175,-19.726,6,2,3.102,31.639,64.0,12.666666666666666,2.5433333333333334
2346,2480,1.0149999999999864,1.0149999999999864,1.0149999999999864,1.0149999999999864,Cu4Se2,0.014,-0.111,0.146,-22.337,6,2,3.017,24.853,30.666666666666668,12.666666666666666,2.1166666666666667
2347,2481,0.5499999999999545,0.5724999999999909,0.5499999999999545,0.5574999999999667,Cu4Se2,0.083,-0.042,0.1,-21.922,6,2,3.846,22.262,30.666666666666668,12.666666666666666,2.1166666666666667
2348,2482,1.2475000000000591,0.8050000000000637,0.8050000000000637,0.9525000000000622,Nb4Se2,0.002,-0.553,0.0,-51.59,6,2,7.209,11.532,38.666666666666664,8.666666666666666,1.9166666666666667
2349,2483,1.3450000000000273,0.8975000000000364,0.8975000000000364,1.0466666666667,Ta4Se2,0.0,-0.487,0.0,-49.153,6,2,7.275,11.507,60.0,8.666666666666666,1.8499999999999999
2350,2484,1.6950000000001637,1.6875,1.7250000000001364,1.7025000000001,SbSe2O6H,0.0,-0.955,3.173,-54.994,10,4,5.764,20.797,16.8,8.4,2.9989999999999997
2351,2485,1.677500000000009,1.800000000000182,1.8275000000001,1.7683333333334303,SbTe2O6H,0.041,-1.116,2.798,-56.041,10,4,5.967,21.268,20.4,8.4,2.909
2352,2486,0.5299999999999727,0.41749999999996135,0.41749999999996135,0.45499999999996515,Tl4Se2,0.016,-0.335,0.883,-18.968,6,2,3.602,31.972,65.33333333333333,14.0,2.21
2353,2487,0.7775000000000318,0.7275000000000773,0.7275000000000773,0.7441666666667288,Te4Si2,0.055,0.005,0.516,-23.587,6,2,5.136,26.43,39.333333333333336,12.0,2.033333333333333
2354,2488,0.42999999999995,0.43499999999994543,0.42999999999995,0.43166666666661513,InAs2S6Li,0.087,-0.344,2.02,-41.885,10,4,3.146,40.876,21.4,8.0,2.2600000000000002
2355,2489,4.672500000000014,4.625,4.6375000000000455,4.64500000000002,Sn2I4,0.053,-0.485,1.527,-16.937,6,2,3.997,46.877,52.0,16.0,2.4266666666666667
2356,2490,0.9624999999999773,0.9624999999999773,0.9624999999999773,0.9624999999999773,InP2S6Li,0.0,-0.539,2.293,-45.237,10,4,3.056,38.389,17.8,6.0,2.262
2357,2491,0.5474999999999,0.5474999999999,0.5474999999999,0.5474999999999,InSe6P2Li,0.0,-0.41,1.632,-40.375,10,4,3.305,41.601,28.6,12.0,2.2439999999999998
